,left_elbow_roll,left_elbow_pitch,left_elbow_yaw,right_elbow_roll,right_elbow_pitch,right_elbow_yaw,left_knee_roll,left_knee_pitch,left_knee_yaw,right_knee_roll,right_knee_pitch,right_knee_yaw,left_hip_roll,left_hip_pitch,left_hip_yaw,right_hip_roll,right_hip_pitch,right_hip_yaw,left_ankle_roll,left_ankle_pitch,left_ankle_yaw,right_ankle_roll,right_ankle_pitch,right_ankle_yaw
205,-77.96610578383712,1.7160545793385118,-112.87344671989115,-79.25666057852695,8.396362444838786,-85.14750277806385,-12.857075019605954,-25.082506145545153,-85.54428682332866,-83.61540596145286,-8.833173797632043,-76.61620568095461,-45.986237566582496,-129.4125891311638,-87.24482227104563,-50.67158466924115,-71.82337280170256,-94.9722193085716,-74.10261992257692,-70.46514409260146,-90.4514521454869,-71.99973902164398,-43.212931473696855,-102.67830404649574
206,-78.64916197514698,2.9082355646763385,-115.15571191197223,-79.5159424465582,8.763520907000357,-85.52096430700516,-13.206606273453495,-18.494736414092124,-86.71986980970308,-82.4792278829193,-6.8849767398827,-78.32582498052464,-46.705861060340425,-128.89584835039452,-88.35128966632135,-51.954798825515255,-68.94935667512426,-95.08223926288336,-73.5250290661316,-63.32030908752922,-90.76768577586235,-71.32553911800944,-26.80194098780451,-106.89099143404073
207,-78.78839049204605,3.0012251872066567,-116.23346873719942,-79.78928740511401,8.681463219268133,-85.274902100532,-15.239124349384776,-15.356998490998276,-87.1374356054125,-82.29717404638143,-6.566828685884759,-78.62945513228689,-47.74233434997452,-124.49657026196661,-88.88748370724944,-52.17361938078182,-68.49162673437935,-95.1092585394428,-73.39636891639665,-59.572353624380796,-90.84700144153597,-71.03633411946541,-25.780153141191654,-106.72400090120443
208,-78.76161500558622,3.068824909195441,-116.59550958882654,-80.02842191093025,8.707948060842964,-85.13155302131568,-15.930222399513587,-15.532862506487366,-87.06277206051233,-82.22845512940175,-6.7112353655513415,-78.6499189044439,-48.04426253138466,-122.52590283652313,-88.9206536770662,-52.30941754287977,-68.22337846014197,-95.02372496886007,-73.34452252282166,-60.69929618328921,-90.81935129284285,-70.86065342911915,-27.616370942140406,-106.18456287779398
209,-78.02538614286021,5.963156692276704,-119.74154093227601,-80.20278859155563,7.7256207454626225,-85.00261981895855,-38.896259481811796,16.085642896907817,-90.60069359714745,-68.99844456731394,0.4789992125664736,-84.68126525778356,-52.138673289649255,15.810938503101077,-98.19579554708513,-52.79308709483286,-76.38627240207467,-95.67597868131999,-81.12568422429186,31.99276306229262,-91.58006254722538,-64.46716727127874,81.81717909809952,-104.5439055640591
210,-77.13728906233197,6.307189051722837,-118.50452938286047,-80.4113568637854,6.705575458906781,-84.48163666506352,-38.94737922108101,24.6017052578893,-91.91477549669551,-66.2257668483107,6.09398442417278,-87.00298710545312,-52.33814038921836,76.58015680183306,-101.29226242431271,-53.249632906017496,-77.23468915656733,-97.0862285745049,-80.75525639841786,51.99144999095184,-91.84025840536798,-64.36253793336161,82.4915562640384,-104.77526311178973
211,-77.19458093665084,6.32840659578223,-118.54994208277004,-80.67686280676055,6.565659610377823,-84.10109209044785,-33.404304944505206,18.932961581543978,-89.72510269912655,-67.94799663719003,2.839103332931471,-84.64980206384064,-51.38378654804898,107.86760420992317,-99.58577841328436,-53.278364622731054,-76.0065484993261,-97.48957461681763,-79.43336072778807,14.382609918824969,-91.41170827700158,-67.38582456244622,46.81084944303304,-103.75785730997846
212,-77.46015822300481,6.245224306663706,-119.35968892320808,-80.71848917690266,6.502954901038722,-83.85422271864984,-32.77150463633491,11.35091781816341,-88.0835296829835,-69.7353935290778,-2.257259273609435,-81.12679895814101,-50.5911453214251,158.9236814903332,-98.08741185426545,-53.260352351268665,-75.36733400166204,-97.43310809085689,-79.28915062819972,-36.73650012272321,-90.59715871177441,-68.57394934090702,-17.09594233701707,-101.31717246330935
213,-77.77098956887936,7.202349131048743,-121.49826490538524,-80.70339504196507,8.252929798489996,-85.10219613919816,-37.801325345712165,-8.706990862357717,-83.49573091498337,-72.7257090409642,-9.24786553675293,-76.86372549293264,-50.128749072906935,-111.34130054847553,-94.34218185967987,-52.557242079287185,-77.00855910763886,-96.52954103503043,-80.93900356915331,-68.73895021362543,-90.13475349588354,-69.40141778322594,-36.90483357207228,-100.46947832180673
214,-78.09917933454284,7.61572670734826,-122.77386581757212,-80.76247972987265,9.460508523513596,-85.92887574705948,-43.941951711922385,-11.933242215280824,-82.73358538949647,-75.62677930738664,-9.425451164415577,-76.28285789760982,-49.82973381497994,-107.57493552793618,-92.37763052134,-52.13392874556554,-77.84659972273184,-96.44074067457133,-82.75494993126436,-66.86945121184455,-90.26617456359467,-70.07269128366109,-33.88805887809243,-102.189138530447
